new_name;labels;L_gaudecker2021_7_6p.dta;L_gaudecker2020_6_6p.dta;L_gaudecker2020_5_6p.dta;L_gaudecker2019_4_6p.dta;L_gaudecker2019_3_6p.dta;L_gaudecker2018_2_6p.dta;L_gaudecker2018_1_6p.dta
event_e2_1_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_1_1;;;
event_e2_2_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_2_1;;;
event_e2_3_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_3_1;;;
event_e2_4_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_4_1;;;
event_e2_5_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_5_1;;;
event_e2_6_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_6_1;;;
event_e2_7_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_7_1;;;
event_e2_8_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_8_1;;;
event_e2_9_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_9_1;;;
event_e2_10_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_10_1;;;
event_e2_11_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_11_1;;;
event_e2_12_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_12_1;;;
event_e2_13_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_3_13_1;;;
event_e3_1_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_1_1;;;
event_e3_2_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_2_1;;;
event_e3_3_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_3_1;;;
event_e3_4_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_4_1;;;
event_e3_5_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_5_1;;;
event_e3_6_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_6_1;;;
event_e3_7_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_7_1;;;
event_e3_8_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_8_1;;;
event_e3_9_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_9_1;;;
event_e3_10_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_10_1;;;
event_e3_11_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_11_1;;;
event_e3_12_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_12_1;;;
event_e3_13_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_4_13_1;;;
event_e1c_1_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_1_1;;;
event_e1c_2_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_2_1;;;
event_e1c_3_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_3_1;;;
event_e1c_4_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_4_1;;;
event_e1c_5_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_5_1;;;
event_e1c_6_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_6_1;;;
event_e1c_7_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_7_1;;;
event_e1c_8_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_8_1;;;
event_e1c_9_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_9_1;;;
event_e1c_10_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_10_1;;;
event_e1c_11_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_11_1;;;
event_e1c_12_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_12_1;;;
event_e1c_13_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_5_13_1;;;
event_e2c_1_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_1_1;;;
event_e2c_2_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_2_1;;;
event_e2c_3_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_3_1;;;
event_e2c_4_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_4_1;;;
event_e2c_5_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_5_1;;;
event_e2c_6_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_6_1;;;
event_e2c_7_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_7_1;;;
event_e2c_8_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_8_1;;;
event_e2c_9_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_9_1;;;
event_e2c_10_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_10_1;;;
event_e2c_11_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_11_1;;;
event_e2c_12_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_12_1;;;
event_e2c_13_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_6_13_1;;;
event_e3c_1_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_1_1;;;
event_e3c_2_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_2_1;;;
event_e3c_3_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_3_1;;;
event_e3c_4_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_4_1;;;
event_e3c_5_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_5_1;;;
event_e3c_6_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_6_1;;;
event_e3c_7_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_7_1;;;
event_e3c_8_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_8_1;;;
event_e3c_9_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_9_1;;;
event_e3c_10_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_10_1;;;
event_e3c_11_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_11_1;;;
event_e3c_12_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_12_1;;;
event_e3c_13_1_temp;Klimaat - U kunt kiezen uit optie 1 of optie 2.;;;;keuze_clim_7_13_1;;;
date_corona_wave;Preload variable;;;p_DatumE;;;;
bought_or_sold_stocks;We willen graag weten wat u met uw (eventuele) spaarvermogen hebt gedaan in de a;;;StockTrading;;;;
weeks_comparison;berekend aantal weken;;;week_help;;;;
amount_stocks_bought;In vergelijking met een normale periode van [week_help] weken in de afgelopen ja;;;stock3;;;;
amount_stocks_sold;In vergelijking met een normale periode van [week_help] weken in de afgelopen ja;;;stock4;;;;
amount_stocks_bought_merge;In vergelijking met een normale periode van [week_help] weken in de afgelopen ja;;;stock5;;;;
amount_stocks_sold_merge;In vergelijking met een normale periode van [week_help] weken in de afgelopen ja;;;stock6;;;;
p_6m_purchase_risky;Ik zal in de komende zes maanden risicovolle bezittingen zoals aandelen, bedrijf;;;IntBeh1;;;;
p_6m_sell_risky;Ik zal in de komende zes maanden risicovolle bezittingen zoals aandelen, bedrijf;;;IntBeh2;;;;
portfolio2_amt;bedrag getoond bij portfolio2;;fill2;;;;;
portfolio3_amt;bedrag getoond bij portfolio3;;fill3;;;;;
portfolio4_amt;bedrag getoond bij portfolio4;;fill4;;;;;
portfolio5_amt;bedrag getoond bij portfolio5;;fill5;;;;;
num1;Een winkel verkoopt in de uitverkoop alle artikelen voor de halve prijs. Vóór de;;num1;;;;;
num3;Een verkoper van tweedehands autos verkoopt een auto voor 6.000 euro. Dat is tw;;num3;;;;;
num5;Als vijf mensen allemaal de winnende nummers in een loterij goed hebben en de ho;;num5;;;;;
num6;Stel dat u 200 euro op een spaarrekening hebt staan. U zet niet nog een bedrag o;;num6;;;;;
portfolio1;Wat heeft uw voorkeur: een 50 procent kans op het winnen van 300 euro met tegeli;;portfolio1;;;;;
portfolio2;Wat heeft uw voorkeur: een 50 procent kans op het winnen van 300 euro met tegeli;;portfolio2;;;;;
portfolio3;Wat heeft uw voorkeur: een 50 procent kans op het winnen van 300 euro met tegeli;;portfolio3;;;;;
portfolio4;Wat heeft uw voorkeur: een 50 procent kans op het winnen van 300 euro met tegeli;;portfolio4;;;;;
portfolio5;Wat heeft uw voorkeur: een 50 procent kans op het winnen van 300 euro met tegeli;;portfolio5;;;;;
time_pref_154;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 154 euro ontvangen?;;v107;;;;;
time_pref_125;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 125 euro ontvangen?;;v108;;;;;
time_pref_112;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 112 euro ontvangen?;;v109;;;;;
time_pref_106;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 106 euro ontvangen?;;v110;;;;;
time_pref_103;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 103 euro ontvangen?;;v111;;;;;
time_pref_109;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 109 euro ontvangen?;;v112;;;;;
time_pref_119;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 119 euro ontvangen?;;v113;;;;;
time_pref_122;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 122 euro ontvangen?;;v114;;;;;
time_pref_116;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 116 euro ontvangen?;;v115;;;;;
time_pref_139;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 139 euro ontvangen?;;v116;;;;;
time_pref_132;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 132 euro ontvangen?;;v117;;;;;
time_pref_129;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 129 euro ontvangen?;;v118;;;;;
time_pref_136;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 136 euro ontvangen?;;v119;;;;;
time_pref_146;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 146 euro ontvangen?;;v120;;;;;
time_pref_143;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 143 euro ontvangen?;;v121;;;;;
time_pref_150;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 150 euro ontvangen?;;v122;;;;;
time_pref_185;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 185 euro ontvangen?;;v123;;;;;
time_pref_202;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 202 euro ontvangen?;;v124;;;;;
time_pref_193;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 193 euro ontvangen?;;v125;;;;;
time_pref_197;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 197 euro ontvangen?;;v126;;;;;
time_pref_189;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 189 euro ontvangen?;;v127;;;;;
time_pref_210;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 210 euro ontvangen?;;v128;;;;;
time_pref_215;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 215 euro ontvangen?;;v129;;;;;
time_pref_206;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 206 euro ontvangen?;;v130;;;;;
time_pref_169;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 169 euro ontvangen?;;v131;;;;;
time_pref_161;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 161 euro ontvangen?;;v132;;;;;
time_pref_158;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 158 euro ontvangen?;;v133;;;;;
time_pref_165;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 165 euro ontvangen?;;v134;;;;;
time_pref_177;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 177 euro ontvangen?;;v135;;;;;
time_pref_173;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 173 euro ontvangen?;;v136;;;;;
time_pref_181;Zou u liever vandaag 100 euro ontvangen of over 12 maanden 181 euro ontvangen?;;v137;;;;;
general_risk_q;"Bent u; in het algemeen; bereid om risicos te nemen?";;v71;;;;;
general_risk_ex1a;"Bij het beantwoorden van de laatste vraag; ... dacht u dan eerder aan de negatie";;ex1a;;;;;
general_risk_ex1b;"Bij het beantwoorden van de laatste vraag; ... dacht u dan eerder aan kleine all";;ex1b;;;;;
general_risk_ex1c;"Bij het beantwoorden van de laatste vraag; ... dacht u dan eerder aan situaties ";;ex1c;;;;;
general_risk_ex1d;"Bij het beantwoorden van de laatste vraag; ... dacht u dan eerder aan situaties ";;ex1d;;;;;
general_risk_ex2_1;Wat had u in gedachten toen u aangaf hoe bereid u was om risicos te nemen (dat ;;ex2__1;;;;;
general_risk_ex2_2;Wat had u in gedachten toen u aangaf hoe bereid u was om risicos te nemen (dat ;;ex2__2;;;;;
general_risk_ex2_3;Wat had u in gedachten toen u aangaf hoe bereid u was om risicos te nemen (dat ;;ex2__3;;;;;
general_risk_ex2_4;Wat had u in gedachten toen u aangaf hoe bereid u was om risicos te nemen (dat ;;ex2__4;;;;;
general_risk_ex2_5;Wat had u in gedachten toen u aangaf hoe bereid u was om risicos te nemen (dat ;;ex2__5;;;;;
general_risk_ex2_6;Wat had u in gedachten toen u aangaf hoe bereid u was om risicos te nemen (dat ;;ex2__6;;;;;
general_risk_ex2_7;Wat had u in gedachten toen u aangaf hoe bereid u was om risicos te nemen (dat ;;ex2__7;;;;;
time_pref;Hoe bereid bent u om op een bepaalde manier te handelen? iets opgeven dat vandaa;;v72a;;;;;
num2;"Als de kans om ziek te worden 10% is; hoeveel van de 1000 (duizend) mensen zal d";;num2;;;;;
num4;"Als u een blikje fris koopt voor 85 cent en u betaalt met een munt van 1 euro; h";;num4;;;;;
partner_head;Preload variable - Het huishoudhoofd woont samen met een partner (gehuwd of onge;p_partner;;;;;;
self_assessment_greedy;Ik ben eigenlijk wel hebzuchtig;self_assessment1;;;;;;
self_assessment_gambler;Ik ben eigenlijk wel een gokker;self_assessment2;;;;;;
self_assessment_selfish;Ik ben eigenlijk wel egoïstisch;self_assessment3;;;;;;
other_stocks_greedy;Mensen die risicovolle investeringen hebben zoals bijvoorbeeld aandelen, zijn ge;other_assess_risk1;;;;;;
other_stocks_gambler;Mensen die risicovolle investeringen hebben zoals bijvoorbeeld aandelen, zijn ge;other_assess_risk2;;;;;;
other_stocks_selfish;Mensen die risicovolle investeringen hebben zoals bijvoorbeeld aandelen, zijn ge;other_assess_risk3;;;;;;
other_nostocks_greedy;Mensen die geen risicovolle investeringen hebben zoals bijvoorbeeld aandelen, zi;other_assess_norisk1;;;;;;
other_nostocks_gambler;Mensen die geen risicovolle investeringen hebben zoals bijvoorbeeld aandelen, zi;other_assess_norisk2;;;;;;
other_nostocks_selfish;Mensen die geen risicovolle investeringen hebben zoals bijvoorbeeld aandelen, zi;other_assess_norisk3;;;;;;
response_stocks_greedy;Hoe antwoorden mensen die risicovolle investeringen hebben, zoals bijvoorbeeld a;self_assess_risk1;;;;;;
response_stocks_gambler;Hoe antwoorden mensen die risicovolle investeringen hebben, zoals bijvoorbeeld a;self_assess_risk2;;;;;;
response_stocks_selfish;Hoe antwoorden mensen die risicovolle investeringen hebben, zoals bijvoorbeeld a;self_assess_risk3;;;;;;
response_nostocks_greedy;Hoe antwoorden mensen die geen risicovolle investeringen hebben, zoals bijvoorbe;self_assess_norisk1;;;;;;
response_nostocks_gambler;Hoe antwoorden mensen die geen risicovolle investeringen hebben, zoals bijvoorbe;self_assess_norisk2;;;;;;
response_nostocks_selfish;Hoe antwoorden mensen die geen risicovolle investeringen hebben, zoals bijvoorbe;self_assess_norisk3;;;;;;
fin_invest;Hebt u zelf risicovolle investeringen (zoals aandelen of fondsen)?;fin_invest;;;;;;
