new_name;labels;ci20m_EN_1.0p.dta;ci19l_EN_1.0p.dta;ci18k_EN_1.0p.dta;ci17j_EN_1.0p.dta;ci16i_EN_1.0p.dta;ci15h_EN_1.0p.dta;ci14g_1.0p_EN.dta;ci13f_1.1p_EN.dta;ci13f_1.0p_EN.dta;ci12e_1.0p_EN.dta;ci11d_EN_1.0p.dta;ci10c_EN_1.0p.dta;ci09b_EN_1.1p.dta;ci08a_1.0p_EN.dta;type;categories_english;ordered
ex_ch_net_income_hhm_change_job;Do you expect to see any changes to the total net income per month of your house;ci20m239;ci19l239;ci18k239;ci17j239;ci16i239;ci15h239;ci14g239;ci13f239;ci13f239;ci12e239;ci11d239;ci10c239;ci09b239;ci08a239;category;no|possibly|yes;True
ex_ch_net_income_hhm_adv_career;Do you expect to see any changes to the total net income per month of your house;ci20m240;ci19l240;ci18k240;ci17j240;ci16i240;ci15h240;ci14g240;ci13f240;ci13f240;ci12e240;ci11d240;ci10c240;ci09b240;ci08a240;category;no|possibly|yes;True
ex_ch_net_inc_hhm_soc_incr;Do you expect to see any changes to the total net income per month of your house;ci20m241;ci19l241;ci18k241;ci17j241;ci16i241;ci15h241;ci14g241;ci13f241;ci13f241;ci12e241;ci11d241;ci10c241;ci09b241;ci08a241;category;no|possibly|yes;True
ex_ch_net_inc_hhm_soc_decr;Do you expect to see any changes to the total net income per month of your house;ci20m242;ci19l242;ci18k242;ci17j242;ci16i242;ci15h242;ci14g242;ci13f242;ci13f242;ci12e242;ci11d242;ci10c242;ci09b242;ci08a242;category;no|possibly|yes;True
financ_sit_changed_last_year;Can you indicate, on a scale from 0 to 10, whether your financial situation has;ci20m377;ci19l377;ci18k243;ci17j243;ci16i243;ci15h243;ci14g243;ci13f243;ci13f243;ci12e243;ci11d243;ci10c243;ci09b243;ci08a243;category;0|1|2|3|4|5|6|7|8|9|10;True
ease_living_with_current_income;Can you indicate, on a scale from 0 to 10, how hard or how easy it is for you to;ci20m378;ci19l378;ci18k244;ci17j244;ci16i244;ci15h244;ci14g244;ci13f244;ci13f244;ci12e244;ci11d244;ci10c244;ci09b244;ci08a244;category;0|1|2|3|4|5|6|7|8|9|10;True
problem_trouble_making_emeet;Can you indicate with which of the following issues you are or are not confronte;ci20m245;ci19l245;ci18k245;ci17j245;ci16i245;ci15h245;ci14g245;ci13f245;ci13f245;ci12e245;ci11d245;ci10c245;ci09b245;ci08a245;bool;;
problem_not_replace_broken;Can you indicate with which of the following issues you are or are not confronte;ci20m246;ci19l246;ci18k246;ci17j246;ci16i246;ci15h246;ci14g246;ci13f246;ci13f246;ci12e246;ci11d246;ci10c246;ci09b246;ci08a246;bool;;
problem_borrow_expens_items;Can you indicate with which of the following issues you are or are not confronte;ci20m247;ci19l247;ci18k247;ci17j247;ci16i247;ci15h247;ci14g247;ci13f247;ci13f247;ci12e247;ci11d247;ci10c247;ci09b247;ci08a247;bool;;
problem_running_behind_rent_pay;Can you indicate with which of the following issues you are or are not confronte;ci20m248;ci19l248;ci18k248;ci17j248;ci16i248;ci15h248;ci14g248;ci13f248;ci13f248;ci12e248;ci11d248;ci10c248;ci09b248;ci08a248;bool;;
problem_debt_collector;Can you indicate with which of the following issues you are or are not confronte;ci20m249;ci19l249;ci18k249;ci17j249;ci16i249;ci15h249;ci14g249;ci13f249;ci13f249;ci12e249;ci11d249;ci10c249;ci09b249;ci08a249;bool;;
problem_finc_support_family;Can you indicate with which of the following issues you are or are not confronte;ci20m250;ci19l250;ci18k250;ci17j250;ci16i250;ci15h250;ci14g250;ci13f250;ci13f250;ci12e250;ci11d250;ci10c250;ci09b250;ci08a250;bool;;
problem_none;Can you indicate with which of the following issues you are or are not confronte;ci20m251;ci19l251;ci18k251;ci17j251;ci16i251;ci15h251;ci14g251;ci13f251;ci13f251;ci12e251;ci11d251;ci10c251;ci09b251;ci08a251;bool;;
describe_hh_finances;How would you describe the financial situation of your household at this moment?;ci20m252;ci19l252;ci18k252;ci17j252;ci16i252;ci15h252;ci14g252;ci13f252;ci13f252;ci12e252;ci11d252;ci10c252;ci09b252;ci08a252;category;we are accumulating debts|we are somewhat eating into savings|we are just managing to make ends meet|we have a little bit of money to spare|we have a lot of money to spare;True
hh_expenditure_change;Think about the last 12 months. Was your household expenditure more than, equal;ci20m253;ci19l253;ci18k253;ci17j253;ci16i253;ci15h253;ci14g253;ci13f253;ci13f253;ci12e253;ci11d253;ci10c253;ci09b253;ci08a253;category;expenditure was higher than the income|expenditure was approximately equal to the income|expenditure was lower than the income;True
bought_house_car;Did this expenditure in the last 12 months include the purchase of a house or ca;ci20m254;ci19l254;ci18k254;ci17j254;ci16i254;ci15h254;ci14g254;ci13f254;ci13f254;ci12e254;ci11d254;ci10c254;ci09b254;ci08a254;bool;;
hh_expend_change_wo_house_car;If you then disregard the purchase of a house or car, or any other (large) inves;ci20m255;ci19l255;ci18k255;ci17j255;ci16i255;ci15h255;ci14g255;ci13f255;ci13f255;ci12e255;ci11d255;ci10c255;ci09b255;ci08a255;category;expenditure was higher than the income|expenditure was approximately equal to the income|expenditure was lower than the income;True
chance_to_lose_job;Do you think that there is any chance that you might lose your job in the coming;ci20m379;ci19l379;ci18k256;ci17j256;ci16i256;ci15h256;ci14g256;ci13f256;ci13f256;ci12e256;ci11d256;ci10c256;ci09b256;ci08a256;int;;
chance_to_find_job;Do you think that you have a chance of finding a job in the coming 12 months? Yo;ci20m257;ci19l257;ci18k257;ci17j257;ci16i257;ci15h257;ci14g257;ci13f257;ci13f257;ci12e257;ci11d257;ci10c257;ci09b257;ci08a257;int;;
expectation_hh_expenditure;Think about the coming 12 months. Do you think that the expenditure of your hous;ci20m258;ci19l258;ci18k258;ci17j258;ci16i258;ci15h258;ci14g258;ci13f258;ci13f258;ci12e258;ci11d258;ci10c258;ci09b258;ci08a258;category;much higher than the income|higher than the income|approximately equal to the income|lower than the income|much lower than the income;True
will_buy_house_car;Will the purchase of a house or car, or other (large) investments, be part of th;;;ci18k259;ci17j259;ci16i259;ci15h259;ci14g259;ci13f259;ci13f259;ci12e259;ci11d259;ci10c259;ci09b259;ci08a259;category;no|perhaps|yes;True
expec_hh_expend_wo_house_car;If you disregard the purchase of a house or car or other (large) investments, do;;;ci18k260;ci17j260;ci16i260;ci15h260;ci14g260;ci13f260;ci13f260;ci12e260;ci11d260;ci10c260;ci09b260;ci08a260;category;much higher than the income|higher than the income|approximately equal to the income|lower than the income|much lower than the income;True
expec_financial_sit;Do you expect your financial situation to get better or worse over the coming 12;ci20m261;ci19l261;ci18k261;ci17j261;ci16i261;ci15h261;ci14g261;ci13f261;ci13f261;ci12e261;ci11d261;ci10c261;ci09b261;ci08a261;category;will get a lot worse|will get a bit worse|will remain more or less the same|will get slightly better|will get much better;True
could_reduce_hh_expenditure_by;Would you be able to reduce the expenditure of your household by 5%? Provide you;;;ci18k262;ci17j262;ci16i262;ci15h262;ci14g262;ci13f262;ci13f262;ci12e262;ci11d262;ci10c262;ci09b262;ci08a262;category;0|1|2|3|4|5|6|7|8|9|10;True
happiness;Can you indicate, on a scale from 0 to 10, to what degree you consider yourself;ci20m380;ci19l380;ci18k263;ci17j263;ci16i263;ci15h263;ci14g263;ci13f263;ci13f263;ci12e263;ci11d263;ci10c263;ci09b263;ci08a263;category;0|1|2|3|4|5|6|7|8|9|10;True
how_financial_decisions_made;Here are five descriptions of how financial decisions may be taken in a househol;ci20m264;ci19l264;ci18k264;ci17j264;ci16i264;ci15h264;ci14g264;ci13f264;ci13f264;ci12e264;ci11d264;ci10c264;ci09b264;ci08a264;category;my partner generally takes all the decisions concerning financial affairs|my partner decides about financial affairs more often than I do|my partner and I generally decide together about financial affairs|I generally decide about financial affairs more often than my partner|I generally take all the decisions about financial affairs;False
how_financial_decisions_made_d;How would you describe the way in which financial affairs are managed?;ci20m265;ci19l265;ci18k265;ci17j265;ci16i265;ci15h265;ci14g265;ci13f265;ci13f265;ci12e265;ci11d265;ci10c265;ci09b265;ci08a265;category;my partner and I each manage our own financial affairs|for the most part we manage our own money, but we also have a small shared reserve|we have a shared reserve and to a limited extent each manages one's own money|we manage our finances together, there are no separate reserves|other;False
appliances_has_fixed_line_phone;We would like to know what appliances are part of your household? - Fixed-line t;;;;;;;;;;;ci11d266;ci10c266;ci09b266;ci08a266;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_phone_wo_inet;We would like to know what appliances are part of your household? - Mobile phone;;;;;;;;;;;ci11d267;ci10c267;ci09b267;ci08a267;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_phone_w_inet;We would like to know what appliances are part of your household? - Mobile phone;;;;;;;;;;;ci11d268;ci10c268;ci09b268;ci08a268;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_widescreen_tv;We would like to know what appliances are part of your household? - Widescreen T;;;;;;ci15h346;ci14g346;ci13f346;ci13f346;ci12e346;ci11d269;ci10c269;ci09b269;ci08a269;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_digital_tv;We would like to know what appliances are part of your household? - Digital TV;;;;;;;;;;;ci11d270;ci10c270;ci09b270;ci08a270;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_satellite_dish;We would like to know what appliances are part of your household? - Satellite di;;;;;;;;;;;ci11d271;ci10c271;ci09b271;ci08a271;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_home_cinema;We would like to know what appliances are part of your household? - Home cinema;;;;;;;;;;;ci11d272;ci10c272;ci09b272;ci08a272;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_cd_player;We would like to know what appliances are part of your household? - CD player;;;;;;;;;;;ci11d273;ci10c273;ci09b273;ci08a273;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_dvd_player;We would like to know what appliances are part of your household? - DVD player,;;;;;;;;;;;ci11d274;ci10c274;ci09b274;ci08a274;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_dvd_recorder;We would like to know what appliances are part of your household? - DVD recorder;;;;;;;;;;;ci11d275;ci10c275;ci09b275;ci08a275;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_cd_dvd_writer;We would like to know what appliances are part of your household? - CD or DVD (r;;;;;;;;;;;ci11d276;ci10c276;ci09b276;ci08a276;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_mp3_player;We would like to know what appliances are part of your household? - MP3 player (;;;;;;;;;;;ci11d277;ci10c277;ci09b277;ci08a277;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_mp4_player;We would like to know what appliances are part of your household? - MP4 player;;;;;;;;;;;ci11d278;ci10c278;ci09b278;ci08a278;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_camcorder;We would like to know what appliances are part of your household? - Camcorder/Pa;;;;;;;;;;;ci11d279;ci10c279;ci09b279;ci08a279;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_pda_without_inet;We would like to know what appliances are part of your household? - PDA (persona;;;;;;;;;;;ci11d280;ci10c280;ci09b280;ci08a280;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_pda_with_inet;We would like to know what appliances are part of your household? - PDA (persona;;;;;;;;;;;ci11d281;ci10c281;ci09b281;ci08a281;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_computer;We would like to know what appliances are part of your household? - Computer (PC;;;;;;;;;;;ci11d282;ci10c282;ci09b282;ci08a282;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_printer;We would like to know what appliances are part of your household? - Printer;;;;;;;;;;;ci11d283;ci10c283;ci09b283;ci08a283;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_digital_camera;We would like to know what appliances are part of your household? - Digital phot;;;;;;;;;;;ci11d284;ci10c284;ci09b284;ci08a284;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_games_console;We would like to know what appliances are part of your household? - Games comput;;;;;;;;;;;ci11d285;ci10c285;ci09b285;ci08a285;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_gps;We would like to know what appliances are part of your household? - Navigation s;;;;;;;;;;;ci11d286;ci10c286;ci09b286;ci08a286;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_wash_dryer;We would like to know what appliances are part of your household? - Wash dryer;;;;;;;;;;;ci11d287;ci10c287;ci09b287;ci08a287;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_dishwasher;We would like to know what appliances are part of your household? - Dishwasher;;;;;;ci15h347;ci14g347;ci13f347;ci13f347;ci12e347;ci11d288;ci10c288;ci09b288;ci08a288;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_freezer;We would like to know what appliances are part of your household? - Deep freezer;;;;;;;;;;;ci11d289;ci10c289;ci09b289;ci08a289;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_microwave;We would like to know what appliances are part of your household? - Microwave ov;;;;;;;;;;;ci11d290;ci10c290;ci09b290;ci08a290;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_deep_fryer;We would like to know what appliances are part of your household? - Deep fryer;;;;;;;;;;;ci11d291;ci10c291;ci09b291;ci08a291;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
was_not_arrears;Were you in arrears on one or more bills on 31 December 2015? - no;ci20m292;ci19l292;ci18k292;ci17j292;ci16i292;ci15h292;ci14g292;ci13f292;ci13f292;ci12e292;ci11d292;ci10c292;ci09b292;ci08a292;bool;;
was_arrears_rent_mortgage;Were you in arrears on one or more bills on 31 December 2015? - yes, arrears on;ci20m293;ci19l293;ci18k293;ci17j293;ci16i293;ci15h293;ci14g293;ci13f293;ci13f293;ci12e293;ci11d293;ci10c293;ci09b293;ci08a293;bool;;
was_arrears_utilities;Were you in arrears on one or more bills on 31 December 2015? - yes, arrears on;ci20m294;ci19l294;ci18k294;ci17j294;ci16i294;ci15h294;ci14g294;ci13f294;ci13f294;ci12e294;ci11d294;ci10c294;ci09b294;ci08a294;bool;;
was_arrears_other;Were you in arrears on one or more bills on 31 December 2015? - yes, arrears on;ci20m295;ci19l295;ci18k295;ci17j295;ci16i295;ci15h295;ci14g295;ci13f295;ci13f295;ci12e295;ci11d295;ci10c295;ci09b295;ci08a295;bool;;
was_arrears_dk;Were you in arrears on one or more bills on 31 December 2015? - I don't know;;;ci18k296;ci17j296;ci16i296;ci15h296;ci14g296;ci13f296;ci13f296;ci12e296;ci11d296;ci10c296;ci09b296;ci08a296;bool;;
was_arrears_refuse_to_say;Were you in arrears on one or more bills on 31 December 2015? - I prefer not to;;;ci18k297;ci17j297;ci16i297;ci15h297;ci14g297;ci13f297;ci13f297;ci12e297;ci11d297;ci10c297;ci09b297;ci08a297;bool;;
arrears_amt_rent_mortgage;What was the total amount of your arrears on rent or mortgage on 31 December 201;ci20m381;ci19l381;ci18k298;ci17j298;ci16i298;ci15h298;ci14g298;ci13f298;ci13f298;ci12e298;ci11d298;ci10c298;ci09b298;ci08a298;bool;;
arrears_amt_utilities;What was the total amount of your arrears on general utilities on 31 December 20;ci20m299;ci19l299;ci18k299;ci17j299;ci16i299;ci15h299;ci14g299;ci13f299;ci13f299;ci12e299;ci11d299;ci10c299;ci09b299;ci08a299;bool;;
arrears_amt_other;What was the total amount of your arrears on other bills on 31 December 2015?;ci20m300;ci19l300;ci18k300;ci17j300;ci16i300;ci15h300;ci14g300;ci13f300;ci13f300;ci12e300;ci11d300;ci10c300;ci09b300;ci08a300;bool;;
was_arrears_more_than_2m_rent;Did you fall into arrears for more than 2 months on rent (tenants) or installmen;ci20m301;ci19l301;ci18k301;ci17j301;ci16i301;ci15h301;ci14g301;ci13f301;ci13f301;ci12e301;ci11d301;ci10c301;ci09b301;ci08a301;bool;;
arrears_rent_duration;What were your largest arrears (in terms of months) on rent or installments on m;ci20m302;ci19l302;ci18k302;ci17j302;ci16i302;ci15h302;ci14g302;ci13f302;ci13f302;ci12e302;ci11d302;ci10c302;ci09b302;ci08a302;bool;;
was_arrears_more_than_2m_util;Did you fall into arrears for more than 2 months on general utilities in 2015?;ci20m303;ci19l303;ci18k303;ci17j303;ci16i303;ci15h303;ci14g303;ci13f303;ci13f303;ci12e303;ci11d303;ci10c303;ci09b303;ci08a303;bool;;
arrears_utilities_duration;What were your largest arrears (in terms of months) on general utilities in 2015;ci20m304;ci19l304;ci18k304;ci17j304;ci16i304;ci15h304;ci14g304;ci13f304;ci13f304;ci12e304;ci11d304;ci10c304;ci09b304;ci08a304;bool;;
prepares_full_meal_every_day;Do you prepare a meal with meat, chicken, fish or a full vegetarian meal once a;ci20m382;;ci18k305;ci17j305;ci16i305;ci15h305;ci14g305;ci13f305;ci13f305;ci12e305;ci11d305;ci10c305;ci09b305;ci08a305;category;yes|no, I don't have enough money for that|no, I don't think it is necessary|no, for another reason;False
buys_new_clothes_regularly;Do you buy new clothes regularly?;ci20m306;ci19l306;ci18k306;ci17j306;ci16i306;ci15h306;ci14g306;ci13f306;ci13f306;ci12e306;ci11d306;ci10c306;ci09b306;ci08a306;category;yes|no, I don't have enough money for that|no, I don't think it is necessary|no, for another reason;False
replaces_worth_furniture;Do you replace worn furniture with new furniture?;ci20m307;ci19l307;ci18k307;ci17j307;ci16i307;ci15h307;ci14g307;ci13f307;ci13f307;ci12e307;ci11d307;ci10c307;ci09b307;ci08a307;category;yes|no, I don't have enough money for that|no, I don't think it is necessary|no, for another reason;False
takes_holiday_every_year;Do you take a week of holiday every year?;ci20m340;ci19l340;ci18k340;ci17j340;ci16i340;ci15h340;ci14g340;ci13f340;ci13f340;ci12e340;ci11d340;ci10c340;ci09b308;ci08a308;category;yes|no, I don't have enough money for that|no, I don't think it is necessary|no, for another reason;False
financ_support_child_schooling;Do you pay voluntary parental contribution for your children (tuition fees, mone;ci20m309;ci19l309;ci18k309;ci17j309;ci16i309;ci15h309;ci14g309;ci13f309;ci13f309;ci12e309;ci11d309;ci10c309;ci09b309;ci08a309;category;yes|no, I don't have enough money for that|no, I don't think it is necessary|no, for another reason;False
went_out_over_past_2_weeks;Did you go on any sort of outing in the past two weeks (that cost money)?;;;ci18k310;ci17j310;ci16i310;ci15h310;ci14g310;ci13f310;ci13f310;ci12e310;ci11d310;ci10c310;ci09b310;ci08a310;bool;;
reason_did_not_go_out;What was the main reason for this?;;;ci18k311;ci17j311;ci16i311;ci15h311;ci14g311;ci13f311;ci13f311;ci12e311;ci11d311;ci10c311;ci09b311;ci08a311;category;I didn't want to|I was too busy socially in other ways|I can't afford it|I couldn't leave the children alone|because of sickness|other reason;False
reason_did_not_go_out_other;What other reason do you mean?;;;ci18k312;ci17j312;ci16i312;ci15h312;ci14g312;ci13f312;ci13f312;ci12e312;ci11d312;ci10c312;ci09b312;ci08a312;object;;
questionnaire_difficult;Was it difficult to answer the questions?;ci20m313;ci19l313;ci18k313;ci17j313;ci16i313;ci15h313;ci14g313;ci13f313;ci13f313;ci12e313;ci11d313;ci10c313;ci09b313;ci08a313;category;1|2|3|4|5;True
questionnaire_clear;Were the questions sufficiently clear?;ci20m314;ci19l314;ci18k314;ci17j314;ci16i314;ci15h314;ci14g314;ci13f314;ci13f314;ci12e314;ci11d314;ci10c314;ci09b314;ci08a314;category;1|2|3|4|5;True
questionnaire_thinking;Did the questionnaire get you thinking about things?;ci20m315;ci19l315;ci18k315;ci17j315;ci16i315;ci15h315;ci14g315;ci13f315;ci13f315;ci12e315;ci11d315;ci10c315;ci09b315;ci08a315;category;1|2|3|4|5;True
questionnaire_interesting;Was it an interesting subject?;ci20m316;ci19l316;ci18k316;ci17j316;ci16i316;ci15h316;ci14g316;ci13f316;ci13f316;ci12e316;ci11d316;ci10c316;ci09b316;ci08a316;category;1|2|3|4|5;True
questionnaire_enjoy;Did you enjoy answering the questions?;ci20m317;ci19l317;ci18k317;ci17j317;ci16i317;ci15h317;ci14g317;ci13f317;ci13f317;ci12e317;ci11d317;ci10c317;ci09b317;ci08a317;category;1|2|3|4|5;True
start_date;Starting date of the questionnaire;ci20m318;ci19l318;ci18k318;ci17j318;ci16i318;ci15h318;ci14g318;ci13f318;ci13f318;ci12e318;ci11d318;ci10c318;ci09b318;ci08a318;object;;
start_time;Starting time of the questionnaire;ci20m319;ci19l319;ci18k319;ci17j319;ci16i319;ci15h319;ci14g319;ci13f319;ci13f319;ci12e319;ci11d319;ci10c319;ci09b319;ci08a319;object;;
end_date;End date of the questionnaire;ci20m320;ci19l320;ci18k320;ci17j320;ci16i320;ci15h320;ci14g320;ci13f320;ci13f320;ci12e320;ci11d320;ci10c320;ci09b320;ci08a320;object;;
end_time;End time of the questionnaire;ci20m321;ci19l321;ci18k321;ci17j321;ci16i321;ci15h321;ci14g321;ci13f321;ci13f321;ci12e321;ci11d321;ci10c321;ci09b321;ci08a321;object;;
duration;Duration in seconds;ci20m322;ci19l322;ci18k322;ci17j322;ci16i322;ci15h322;ci14g322;ci13f322;ci13f322;ci12e322;ci11d322;ci10c322;ci09b322;ci08a322;float;;
date_fieldwork;Year and month of the field work period;ci20m_m;ci19l_m;ci18k_m;ci17j_m;ci16i_m;ci15h_m;ci14g_m;ci13f_m;ci13f_m;ci12e_m;ci11d_m;ci10c_m;ci09b_m;ci08a_m;int;;
hh_id;Number of household encrypted;;;;;;;;;;;nohouse_encr;nohouse_encr;nohouse_encr;nohouse_encr;int;;
personal_id;Number of household member encrypted;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;nomem_encr;int;;
benefit_received_kindertoeslag;Did you receive one or more of the following benefits or allowances in 2008? - k;;;;;;;;;;;;;ci09b323;;bool;;
enefit_kindertoeslag_net_amt;How much is the net amount that you received in 2008 as kindertoeslag?;;;;;;;;;;;;;ci09b324;;int;;
gift_amt_categ;Can you indicate, then, to what category the total worth of those legacies or gi;ci20m325;ci19l325;ci18k325;ci17j325;ci16i325;ci15h325;ci14g325;ci13f325;ci13f325;ci12e325;ci11d325;ci10c325;ci09b325;;category;;
birthyear;Year of birth respondent;ci20m326;ci19l326;ci18k326;ci17j326;ci16i326;ci15h326;ci14g326;ci13f326;ci13f326;ci12e326;ci11d326;ci10c326;;;int;;
benefit_received_kindgebonden;Did you receive one or more of the following benefits or allowances in 2015? - k;ci20m327;ci19l327;ci18k327;ci17j327;ci16i327;ci15h327;ci14g327;ci13f327;ci13f327;ci12e327;ci11d327;ci10c327;;;bool;;
benefit_received_wajong;Did you receive one or more of the following benefits or allowances in 2015? - W;ci20m328;ci19l328;ci18k328;ci17j328;ci16i328;ci15h328;ci14g328;ci13f328;ci13f328;ci12e328;ci11d328;ci10c328;;;bool;;
benefit_received_iow;Did you receive one or more of the following benefits or allowances in 2015? - I;ci20m329;ci19l329;ci18k329;ci17j329;ci16i329;ci15h329;ci14g329;ci13f329;ci13f329;ci12e329;ci11d329;ci10c329;;;bool;;
benefit_kindgebonden_net_amt;How much is the net amount that you received in 2015 as child budget (kindgebond;ci20m330;ci19l330;ci18k330;ci17j330;ci16i330;ci15h330;ci14g330;ci13f330;ci13f330;ci12e330;ci11d330;ci10c330;;;int;;
benefit_wajong_gross_amt;How much is the total gross amount that you received in 2013 as Wajong (preferab;;;;;;;ci14g331;ci13f331;ci13f331;ci12e331;ci11d331;ci10c331;;;int;;
benefit_wajong_gross_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;;;;;;;ci14g370;ci13f332;ci13f332;ci12e332;ci11d332;ci10c332;;;category;;
income_other_total_amt;What was the total amount of other forms of income?;ci20m384;ci19l370;;;;;;;;;;;;;int;;
benefit_wajong_net_amt;How much is the net amount that you received in 2015 as Wajong?;ci20m333;ci19l333;ci18k333;ci17j333;ci16i333;ci15h333;ci14g333;ci13f333;ci13f333;ci12e333;ci11d333;ci10c333;;;int;;
benefit_iow_gross_amt;How much is the total gross amount that you received in 2013 as IOW (preferably;;;;;;;ci14g334;ci13f334;ci13f334;ci12e334;ci11d334;ci10c334;;;int;;
benefit_iow_gross_amt_categ;Can you indicate, then, to what category the gross amount belongs that you recei;;;;;;;ci14g371;ci13f335;ci13f335;ci12e335;ci11d335;ci10c335;;;category;;
income_other_total_cat;Can you indicate, then, to what category the total amount of other forms of income that you received in 2018 belongs?;ci20m385;ci19l371;;;;;;;;;;;;;category;;
benefit_iow_net_amt;How much is the net amount that you received in 2015 as IOW?;ci20m336;ci19l336;ci18k336;ci17j336;ci16i336;ci15h336;ci14g336;ci13f336;ci13f336;ci12e336;ci11d336;ci10c336;;;int;;
experiment_participation;selection of panel members for the experiment;;;;;;;;;;;ci11d345;;;;bool;;
appliances_has_car;What appliances are part of your household? - Car for private purposes;;;;;;ci15h348;ci14g348;ci13f348;ci13f348;ci12e348;;;;;category;yes|no (not affordable)|no (not necessary)|no (other reason)|no (don't need it)|no (can't afford);False
appliances_has_phone;Do you have a telephone at home?;;;ci18k349;ci17j349;ci16i349;ci15h349;ci14g349;ci13f349;ci13f349;ci12e349;;;;;category;only a fixed line|only a mobile phone|fixed line and a mobile phone|no fixed line and mobile phone;False
appliances_reason_nophone;Can you indicate why you do not own a fixed telephone line or a mobile phone at;;;ci18k350;ci17j350;ci16i350;ci15h350;ci14g350;ci13f350;ci13f350;ci12e350;;;;;category;can't afford it|don't need it|other reason;False
appliances_reason_nophone_o;What other reason do you mean?;;;ci18k351;ci17j351;ci16i351;ci15h351;ci14g351;ci13f351;ci13f351;ci12e351;;;;;object;;
went_out_dinner_past_2_months;Do you go out for dinner at least once in two months?;ci20m352;ci19l352;ci18k352;ci17j352;ci16i352;ci15h352;ci14g352;ci13f352;ci13f352;ci12e352;;;;;category;yes|no, I don't have enough money for that|no, I don't think it is necessary|no, for another reason;False
can_heat_home;Are you able to heat your home well?;ci20m353;ci19l353;ci18k353;ci17j353;ci16i353;ci15h353;ci14g353;ci13f353;ci13f353;ci12e353;;;;;category;yes|no, I don't have enough money for that|no, I don't think it is necessary|no, for another reason;False
pays_for_sports_club;Do you pay for one or more memberships of a sports club and suchlike?;ci20m354;ci19l354;ci18k354;ci17j354;ci16i354;ci15h354;ci14g354;ci13f354;ci13f354;ci12e354;;;;;category;yes|no, I don't have enough money for that|no, I don't think it is necessary|no, for another reason;False
how_hard_to_pay_500eur_wo_loan;How easy or hard is it for you to go to unexpected essential expenses of ÃÂÃÂ 500 o;ci20m355;ci19l355;ci18k355;ci17j355;ci16i355;ci15h355;ci14g355;ci13f355;ci13f355;ci12e355;;;;;category;1|2|3|4|5|6|7;True
burden_living_costs;How much of a burden is it for you to pay for the living costs of your household;ci20m356;ci19l356;ci18k356;ci17j356;ci16i356;ci15h356;ci14g356;ci13f356;ci13f356;ci12e356;;;;;category;1|2|3|4|5|6|7;True
