new_name;labels;L_WorkSchooling_wave13_SectorProfHours_03p.dta;cw19l_EN_1.1p.dta;cw18k_EN_1.0p.dta;cw17j_EN_1.0p.dta;cw16i_EN_1.0p.dta;cw15h_EN_1.0p.dta;cw14g_EN_1.0p.dta;cw13f_EN_1.0p.dta;cw12e_EN_1.0p.dta;cw11d_EN_1.0p.dta;cw10c_EN_1.0p.dta;cw09b_EN_3.0p.dta;cw08a_1.1p_EN.dta;type;categories_english;ordered
pension_contract15;With which of the listed pension funds or pension insurers did you have an arran;;cw19l248;cw18k248;cw17j248;cw16i248;cw15h248;cw14g248;cw13f248;cw12e248;cw11d248;cw10c248;cw09b248;cw08a248;boolean;;
pension_contract16;With which of the listed pension funds or pension insurers did you have an arran;;cw19l249;cw18k249;cw17j249;cw16i249;cw15h249;cw14g249;cw13f249;cw12e249;cw11d249;cw10c249;cw09b249;cw08a249;boolean;;
pension_contract17;With which of the listed pension funds or pension insurers did you have an arran;;cw19l250;cw18k250;cw17j250;cw16i250;cw15h250;cw14g250;cw13f250;cw12e250;cw11d250;cw10c250;cw09b250;cw08a250;boolean;;
pension_contract18;With which of the listed pension funds or pension insurers did you have an arran;;cw19l251;cw18k251;cw17j251;cw16i251;cw15h251;cw14g251;cw13f251;cw12e251;cw11d251;cw10c251;cw09b251;cw08a251;boolean;;
pension_contract19;With which of the listed pension funds or pension insurers did you have an arran;;cw19l252;cw18k252;cw17j252;cw16i252;cw15h252;cw14g252;cw13f252;cw12e252;cw11d252;cw10c252;cw09b252;cw08a252;boolean;;
pension_contract20;With which of the listed pension funds or pension insurers did you have an arran;;cw19l253;cw18k253;cw17j253;cw16i253;cw15h253;cw14g253;cw13f253;cw12e253;cw11d253;cw10c253;cw09b253;cw08a253;boolean;;
pension_contract21;With which of the listed pension funds or pension insurers did you have an arran;;cw19l254;cw18k254;cw17j254;cw16i254;cw15h254;cw14g254;cw13f254;cw12e254;cw11d254;cw10c254;cw09b254;cw08a254;boolean;;
pension_contract22;With which of the listed pension funds or pension insurers did you have an arran;;;cw18k255;cw17j255;cw16i255;cw15h255;cw14g255;cw13f255;cw12e255;cw11d255;cw10c255;cw09b255;cw08a255;float;;
pension_contract23;With which of the listed pension funds or pension insurers did you have an arran;;cw19l256;cw18k256;cw17j256;cw16i256;cw15h256;cw14g256;cw13f256;cw12e256;cw11d256;cw10c256;cw09b256;cw08a256;boolean;;
pension_contract24;With which of the listed pension funds or pension insurers did you have an arran;;cw19l257;cw18k257;cw17j257;cw16i257;cw15h257;cw14g257;cw13f257;cw12e257;cw11d257;cw10c257;cw09b257;cw08a257;boolean;;
pension_contract25;With which of the listed pension funds or pension insurers did you have an arran;;cw19l258;cw18k258;cw17j258;cw16i258;cw15h258;cw14g258;cw13f258;cw12e258;cw11d258;cw10c258;cw09b258;cw08a258;boolean;;
pension_contract26;With which of the listed pension funds or pension insurers did you have an arran;;cw19l259;cw18k259;cw17j259;cw16i259;cw15h259;cw14g259;cw13f259;cw12e259;cw11d259;cw10c259;cw09b259;cw08a259;boolean;;
pension_contract27;With which of the listed pension funds or pension insurers did you have an arran;;;;;;cw15h260;cw14g260;cw13f260;cw12e260;cw11d260;cw10c260;cw09b260;cw08a260;boolean;;
pension_contract28;With which of the listed pension funds or pension insurers did you have an arran;;cw19l261;cw18k261;cw17j261;cw16i261;cw15h261;cw14g261;cw13f261;cw12e261;cw11d261;cw10c261;cw09b261;cw08a261;boolean;;
pension_contract29;With which of the listed pension funds or pension insurers did you have an arran;;cw19l262;cw18k262;cw17j262;cw16i262;cw15h262;cw14g262;cw13f262;cw12e262;cw11d262;cw10c262;cw09b262;cw08a262;boolean;;
pension_contract30;With which of the listed pension funds or pension insurers did you have an arran;;cw19l263;cw18k263;cw17j263;cw16i263;cw15h263;cw14g263;cw13f263;cw12e263;cw11d263;cw10c263;cw09b263;cw08a263;boolean;;
pension_contract31;With which of the listed pension funds or pension insurers did you have an arran;;cw19l264;cw18k264;cw17j264;cw16i264;cw15h264;cw14g264;cw13f264;cw12e264;cw11d264;cw10c264;cw09b264;cw08a264;boolean;;
pension_contract32;With which of the listed pension funds or pension insurers did you have an arran;;cw19l265;cw18k265;cw17j265;cw16i265;cw15h265;cw14g265;cw13f265;cw12e265;cw11d265;cw10c265;cw09b265;cw08a265;boolean;;
pension_contract33;With which of the listed pension funds or pension insurers did you have an arran;;cw19l266;cw18k266;cw17j266;cw16i266;cw15h266;cw14g266;cw13f266;cw12e266;cw11d266;cw10c266;cw09b266;cw08a266;boolean;;
pension_contract34;With which of the listed pension funds or pension insurers did you have an arran;;cw19l267;cw18k267;cw17j267;cw16i267;cw15h267;cw14g267;cw13f267;cw12e267;cw11d267;cw10c267;cw09b267;cw08a267;boolean;;
pension_contract35;With which of the listed pension funds or pension insurers did you have an arran;;cw19l268;cw18k268;cw17j268;cw16i268;cw15h268;cw14g268;cw13f268;cw12e268;cw11d268;cw10c268;cw09b268;cw08a268;boolean;;
pension_contract36;With which of the listed pension funds or pension insurers did you have an arran;;cw19l269;cw18k269;cw17j269;cw16i269;cw15h269;cw14g269;cw13f269;cw12e269;cw11d269;cw10c269;cw09b269;cw08a269;boolean;;
pension_contract37;With which of the listed pension funds or pension insurers did you have an arran;;cw19l270;cw18k270;cw17j270;cw16i270;cw15h270;cw14g270;cw13f270;cw12e270;cw11d270;cw10c270;cw09b270;cw08a270;boolean;;
pension_contract38;With which of the listed pension funds or pension insurers did you have an arran;;cw19l271;cw18k271;cw17j271;cw16i271;cw15h271;cw14g271;cw13f271;cw12e271;cw11d271;cw10c271;cw09b271;cw08a271;boolean;;
pension_contract39;With which of the listed pension funds or pension insurers did you have an arran;;cw19l272;cw18k272;cw17j272;cw16i272;cw15h272;cw14g272;cw13f272;cw12e272;cw11d272;cw10c272;cw09b272;cw08a272;boolean;;
pension_contract40;With which of the listed pension funds or pension insurers did you have an arran;;cw19l273;cw18k273;cw17j273;cw16i273;cw15h273;cw14g273;cw13f273;cw12e273;cw11d273;cw10c273;cw09b273;cw08a273;boolean;;
pension_contract41;With which of the listed pension funds or pension insurers did you have an arran;;cw19l274;cw18k274;cw17j274;cw16i274;cw15h274;cw14g274;cw13f274;cw12e274;cw11d274;cw10c274;cw09b274;cw08a274;boolean;;
pension_contract42;With which of the listed pension funds or pension insurers did you have an arran;;cw19l275;cw18k275;cw17j275;cw16i275;cw15h275;cw14g275;cw13f275;cw12e275;cw11d275;cw10c275;cw09b275;cw08a275;boolean;;
pension_contract43;With which of the listed pension funds or pension insurers did you have an arran;;cw19l276;cw18k276;cw17j276;cw16i276;cw15h276;cw14g276;cw13f276;cw12e276;cw11d276;cw10c276;cw09b276;cw08a276;boolean;;
pension_contract44;With which of the listed pension funds or pension insurers did you have an arran;;cw19l277;cw18k277;cw17j277;cw16i277;cw15h277;cw14g277;cw13f277;cw12e277;cw11d277;cw10c277;cw09b277;cw08a277;boolean;;
pension_contract45;With which of the listed pension funds or pension insurers did you have an arran;;cw19l278;cw18k278;cw17j278;cw16i278;cw15h278;cw14g278;cw13f278;cw12e278;cw11d278;cw10c278;cw09b278;cw08a278;boolean;;
pension_contract46;With which of the listed pension funds or pension insurers did you have an arran;;cw19l279;cw18k279;cw17j279;cw16i279;cw15h279;cw14g279;cw13f279;cw12e279;cw11d279;cw10c279;cw09b279;cw08a279;boolean;;
pension_contract47;With which of the listed pension funds or pension insurers did you have an arran;;cw19l280;cw18k280;cw17j280;cw16i280;cw15h280;cw14g280;cw13f280;cw12e280;cw11d280;cw10c280;cw09b280;cw08a280;boolean;;
pension_contract48;With which of the listed pension funds or pension insurers did you have an arran;;cw19l281;cw18k281;cw17j281;cw16i281;cw15h281;cw14g281;cw13f281;cw12e281;cw11d281;cw10c281;cw09b281;cw08a281;boolean;;
pension_contract49;With which of the listed pension funds or pension insurers did you have an arran;;cw19l282;cw18k282;cw17j282;cw16i282;cw15h282;cw14g282;cw13f282;cw12e282;cw11d282;cw10c282;cw09b282;cw08a282;boolean;;
pension_contract50;With which of the listed pension funds or pension insurers did you have an arran;;cw19l283;cw18k283;cw17j283;cw16i283;cw15h283;cw14g283;cw13f283;cw12e283;cw11d283;cw10c283;cw09b283;cw08a283;boolean;;
pension_contract51;With which of the listed pension funds or pension insurers did you have an arran;;cw19l284;cw18k284;cw17j284;cw16i284;cw15h284;cw14g284;cw13f284;cw12e284;cw11d284;cw10c284;cw09b284;cw08a284;boolean;;
pension_contract52;With which of the listed pension funds or pension insurers did you have an arran;;cw19l285;cw18k285;cw17j285;cw16i285;cw15h285;cw14g285;cw13f285;cw12e285;cw11d285;cw10c285;cw09b285;cw08a285;boolean;;
pension_contract53;With which of the listed pension funds or pension insurers did you have an arran;;cw19l286;cw18k286;cw17j286;cw16i286;cw15h286;cw14g286;cw13f286;cw12e286;cw11d286;cw10c286;cw09b286;cw08a286;boolean;;
pension_contract54;With which of the listed pension funds or pension insurers did you have an arran;;cw19l287;cw18k287;cw17j287;cw16i287;cw15h287;cw14g287;cw13f287;cw12e287;cw11d287;cw10c287;cw09b287;cw08a287;boolean;;
preferred_retire_age;If you were able to choose for yourself, at which age would you want (have wante;;cw19l288;cw18k288;cw17j288;cw16i288;cw15h288;cw14g288;cw13f288;cw12e288;cw11d288;cw10c288;cw09b288;cw08a288;int;;
expect_retire_age;At what age do you expect to retire or take early retirement (e.g. flexible pens;;cw19l289;cw18k289;cw17j289;cw16i289;cw15h289;cw14g289;cw13f289;cw12e289;cw11d289;cw10c289;cw09b289;cw08a289;int;;
expect_early_benefits;If you were to stop working before the old age pension age, do you expect to rec;;cw19l290;cw18k290;cw17j290;cw16i290;cw15h290;cw14g290;cw13f290;cw12e290;cw11d290;cw10c290;cw09b290;cw08a290;boolean;;
reason_early_health;If you were to stop working before the old age pension age, for what reason or r;;cw19l291;cw18k291;cw17j291;cw16i291;cw15h291;cw14g291;cw13f291;cw12e291;cw11d291;cw10c291;cw09b291;cw08a291;boolean;;
reason_early_enough;If you were to stop working before the old age pension age, for what reason or r;;cw19l292;cw18k292;cw17j292;cw16i292;cw15h292;cw14g292;cw13f292;cw12e292;cw11d292;cw10c292;cw09b292;cw08a292;boolean;;
reason_early_forced;If you were to stop working before the old age pension age, for what reason or r;;cw19l293;cw18k293;cw17j293;cw16i293;cw15h293;cw14g293;cw13f293;cw12e293;cw11d293;cw10c293;cw09b293;cw08a293;boolean;;
reason_early_change;If you were to stop working before the old age pension age, for what reason or r;;cw19l294;cw18k294;cw17j294;cw16i294;cw15h294;cw14g294;cw13f294;cw12e294;cw11d294;cw10c294;cw09b294;cw08a294;boolean;;
reason_early_less;If you were to stop working before the old age pension age, for what reason or r;;cw19l295;cw18k295;cw17j295;cw16i295;cw15h295;cw14g295;cw13f295;cw12e295;cw11d295;cw10c295;cw09b295;cw08a295;boolean;;
reason_early_unsatisfied;If you were to stop working before the old age pension age, for what reason or r;;cw19l296;cw18k296;cw17j296;cw16i296;cw15h296;cw14g296;cw13f296;cw12e296;cw11d296;cw10c296;cw09b296;cw08a296;boolean;;
reason_early_heavy;If you were to stop working before the old age pension age, for what reason or r;;cw19l297;cw18k297;cw17j297;cw16i297;cw15h297;cw14g297;cw13f297;cw12e297;cw11d297;cw10c297;cw09b297;cw08a297;boolean;;
reason_early_fired;If you were to stop working before the old age pension age, for what reason or r;;cw19l298;cw18k298;cw17j298;cw16i298;cw15h298;cw14g298;cw13f298;cw12e298;cw11d298;cw10c298;cw09b298;cw08a298;boolean;;
reason_early_atmosphere;If you were to stop working before the old age pension age, for what reason or r;;cw19l299;cw18k299;cw17j299;cw16i299;cw15h299;cw14g299;cw13f299;cw12e299;cw11d299;cw10c299;cw09b299;cw08a299;boolean;;
reason_early_health2;If you were to stop working before the old age pension age, for what reason or r;;cw19l300;cw18k300;cw17j300;cw16i300;cw15h300;cw14g300;cw13f300;cw12e300;cw11d300;cw10c300;cw09b300;cw08a300;boolean;;
reason_early_partner1;If you were to stop working before the old age pension age, for what reason or r;;cw19l301;cw18k301;cw17j301;cw16i301;cw15h301;cw14g301;cw13f301;cw12e301;cw11d301;cw10c301;cw09b301;cw08a301;boolean;;
reason_early_partner2;If you were to stop working before the old age pension age, for what reason or r;;cw19l302;cw18k302;cw17j302;cw16i302;cw15h302;cw14g302;cw13f302;cw12e302;cw11d302;cw10c302;cw09b302;cw08a302;boolean;;
reason_early_partner3;If you were to stop working before the old age pension age, for what reason or r;;cw19l303;cw18k303;cw17j303;cw16i303;cw15h303;cw14g303;cw13f303;cw12e303;cw11d303;cw10c303;cw09b303;cw08a303;boolean;;
reason_early_partner4;If you were to stop working before the old age pension age, for what reason or r;;cw19l304;cw18k304;cw17j304;cw16i304;cw15h304;cw14g304;cw13f304;cw12e304;cw11d304;cw10c304;cw09b304;cw08a304;boolean;;
reason_early_family;If you were to stop working before the old age pension age, for what reason or r;;cw19l305;cw18k305;cw17j305;cw16i305;cw15h305;cw14g305;cw13f305;cw12e305;cw11d305;cw10c305;cw09b305;cw08a305;boolean;;
reason_early_other;If you were to stop working before the old age pension age, for what reason or r;;cw19l306;cw18k306;cw17j306;cw16i306;cw15h306;cw14g306;cw13f306;cw12e306;cw11d306;cw10c306;cw09b306;cw08a306;boolean;;
reason_early_unknown;If you were to stop working before the old age pension age, for what reason or r;;cw19l307;cw18k307;cw17j307;cw16i307;cw15h307;cw14g307;cw13f307;cw12e307;cw11d307;cw10c307;cw09b307;cw08a307;boolean;;
early_parttime;If it were to be possible, would you first wish to continue working part-time, o;;cw19l308;cw18k308;cw17j308;cw16i308;cw15h308;cw14g308;cw13f308;cw12e308;cw11d308;cw10c308;cw09b308;cw08a308;category;first continue working part-time|stop altogether|stopping partly or entirely does not matter to me|I do not work full-time because I am partly disabled for work|I have already partly taken early retirement;False
early_parttime_hours;How many hours per week would you want to continue working, then?;;cw19l309;cw18k309;cw17j309;cw16i309;cw15h309;cw14g309;cw13f309;cw12e309;cw11d309;cw10c309;cw09b309;cw08a309;int;;
retire_partner;Do you think that your partner will stop working at (more or less) the same time;;cw19l310;cw18k310;cw17j310;cw16i310;cw15h310;cw14g310;cw13f310;cw12e310;cw11d310;cw10c310;cw09b310;cw08a310;category;no|not applicable, my partner does not work in a paid job|yes|not applicable, I don't have a partner|not applicable, my partner does not work;False
early_scheme_company;Does the company where you currently work have a scheme for retirement before th;;cw19l311;cw18k311;cw17j311;cw16i311;cw15h311;cw14g311;cw13f311;cw12e311;cw11d311;cw10c311;cw09b311;cw08a311;boolean;;
percentage_wage;Do you know what percentage of your wages you will receive, if you were (to be a;;;cw18k312;cw17j312;cw16i312;cw15h312;cw14g312;cw13f312;cw12e312;cw11d312;cw10c312;cw09b312;cw08a312;float;;
pension_inc;Do you have any idea how high your total income will be after your old age pensi;;cw19l313;cw18k313;cw17j313;cw16i313;cw15h313;cw14g313;cw13f313;cw12e313;cw11d313;cw10c313;cw09b313;cw08a313;boolean;;
pension_monthinc;How high do you think your total net income will be per month, on average, when;;cw19l314;cw18k314;cw17j314;cw16i314;cw15h314;cw14g314;cw13f314;cw12e314;cw11d314;cw10c314;cw09b314;cw08a314;int;;
pension_monthinc_specified;What do you think that your net monthly income at the old age pension age will b;;cw19l315;cw18k315;cw17j315;cw16i315;cw15h315;cw14g315;cw13f315;cw12e315;cw11d315;cw10c315;cw09b315;cw08a315;category;a bit less than now|a lot less than now|a bit more than now|roughly the same as my current income|a lot more than now;False
pension_inc_sufficient;Do you expect that this net income will be sufficient to make ends meet?;;cw19l316;cw18k316;cw17j316;cw16i316;cw15h316;cw14g316;cw13f316;cw12e316;cw11d316;cw10c316;cw09b316;cw08a316;category;yes, I think it will be just what I need to make ends meet|yes, I think I will additionally be able to put some aside in savings|no, I don't think it will be sufficient to make ends meet|no, my plan is to eat into my accumulated capital;False
pension_inc_reason;For what reason do you think that your monthly net income will not be sufficient;;;cw18k317;cw17j317;cw16i317;cw15h317;cw14g317;cw13f317;cw12e317;cw11d317;cw10c317;cw09b317;cw08a317;object;;
eat_capital;How much do you plan to eat into your accumulated capital per year?;;cw19l318;cw18k318;cw17j318;cw16i318;cw15h318;cw14g318;cw13f318;cw12e318;cw11d318;cw10c318;cw09b318;cw08a318;int;;
year_lost_job;In what year did you stop working?;;cw19l319;cw18k319;cw17j319;cw16i319;cw15h319;cw14g319;cw13f319;cw12e319;cw11d319;cw10c319;cw09b319;cw08a319;int;;
month_lost_job;And in what month?;;cw19l320;cw18k320;cw17j320;cw16i320;cw15h320;cw14g320;cw13f320;cw12e320;cw11d320;cw10c320;cw09b320;cw08a320;category;January|February|March|April|May|June|July|August|September|October|November|December;True
pref_retired_year;If you could have chosen freely, in what year would you have wanted to stop work;;cw19l321;cw18k321;cw17j321;cw16i321;cw15h321;cw14g321;cw13f321;cw12e321;cw11d321;cw10c321;cw09b321;cw08a321;int;;
wage_period;As per what period did you receive wages in your last job?;;cw19l322;cw18k322;cw17j322;cw16i322;cw15h322;cw14g322;cw13f322;cw12e322;cw11d322;cw10c322;cw09b322;cw08a322;category;per week|per 4 weeks|per month|per year;True
wage_amount;How high was the net wage (per week/per 4 weeks/per month/per year) in your last;;cw19l323;cw18k323;cw17j323;cw16i323;cw15h323;cw14g323;cw13f323;cw12e323;cw11d323;cw10c323;cw09b323;cw08a323;int;;
wage_currency;How high was the net wage (per week/per 4 weeks/per month/per year) in your last;;cw19l324;cw18k324;cw17j324;cw16i324;cw15h324;cw14g324;cw13f324;cw12e324;cw11d324;cw10c324;cw09b324;cw08a324;category;euro|guilder;False
wage_unknown;How high was the net wage (per week/per 4 weeks/per month/per year) in your last;;cw19l325;cw18k325;cw17j325;cw16i325;cw15h325;cw14g325;cw13f325;cw12e325;cw11d325;cw10c325;cw09b325;cw08a325;float;;
reason_stopped;For what reason did you stop working?;;cw19l326;cw18k326;cw17j326;cw16i326;cw15h326;cw14g326;cw13f326;cw12e326;cw11d326;cw10c326;cw09b326;cw08a326;category;marriage|birth of child|health, disabled for work|study|resigned for personal reasons|sold my own shop or business|termination of own company|shop or business belonging to parents/marital partner fell away|dismissed due to company closure/reorganization|resigned due to health of partner, children, grandchildren, parents (in-law)|dismissed due to end of contract or temporary contract|dismissed for other reasons|partner stopped working|partner started working|partner started working more hours|partner started working less hours|moved house due to partner's job|early retirement, functional dismissal due to age|pension, started living off private means|other reasons;False
seeking_intensity;You have indicated that you are seeking work. Can you indicate which of these st;;cw19l327;cw18k327;cw17j327;cw16i327;cw15h327;cw14g327;cw13f327;cw12e327;cw11d327;cw10c327;cw09b327;cw08a327;category;yes, I am seriously seeking work|yes, I am considering it|no, I have already found another job but haven't started yet|no, I am not seeking work;False
reason_not_seeking;For what reason are you not looking for paid work?;;cw19l328;cw18k328;cw17j328;cw16i328;cw15h328;cw14g328;cw13f328;cw12e328;cw11d328;cw10c328;cw09b328;cw08a328;category;I am studying|I run the household / care for the family|I am (partly) disabled for work|I am living off private means|I have taken FLO, early retirement or (pre-) pension|other reason;False
reason_seeking_loss;For what reason(s) are you looking for another job? - I will (probably) lose my;;cw19l329;cw18k329;cw17j329;cw16i329;cw15h329;cw14g329;cw13f329;cw12e329;cw11d329;cw10c329;cw09b329;cw08a329;boolean;;
reason_seeking_temporary;For what reason(s) are you looking for another job? - I see my current job as te;;cw19l330;cw18k330;cw17j330;cw16i330;cw15h330;cw14g330;cw13f330;cw12e330;cw11d330;cw10c330;cw09b330;cw08a330;boolean;;
reason_seeking_wage;For what reason(s) are you looking for another job? - I want to earn more;;cw19l331;cw18k331;cw17j331;cw16i331;cw15h331;cw14g331;cw13f331;cw12e331;cw11d331;cw10c331;cw09b331;cw08a331;boolean;;
reason_seeking_conditions;For what reason(s) are you looking for another job? - I want a job with better w;;cw19l332;cw18k332;cw17j332;cw16i332;cw15h332;cw14g332;cw13f332;cw12e332;cw11d332;cw10c332;cw09b332;cw08a332;boolean;;
reason_seeking_side;For what reason(s) are you looking for another job? - I want a sideline job to e;;cw19l333;cw18k333;cw17j333;cw16i333;cw15h333;cw14g333;cw13f333;cw12e333;cw11d333;cw10c333;cw09b333;cw08a333;boolean;;
reason_seeking_less;For what reason(s) are you looking for another job? - I want to work less hours;;cw19l334;cw18k334;cw17j334;cw16i334;cw15h334;cw14g334;cw13f334;cw12e334;cw11d334;cw10c334;cw09b334;cw08a334;boolean;;
reason_seeking_more;For what reason(s) are you looking for another job? - I want to work more hours;;cw19l335;cw18k335;cw17j335;cw16i335;cw15h335;cw14g335;cw13f335;cw12e335;cw11d335;cw10c335;cw09b335;cw08a335;boolean;;
reason_seeking_unhappy;For what reason(s) are you looking for another job? - I dont like my current jo;;cw19l336;cw18k336;cw17j336;cw16i336;cw15h336;cw14g336;cw13f336;cw12e336;cw11d336;cw10c336;cw09b336;cw08a336;boolean;;
reason_seeking_security;For what reason(s) are you looking for another job? - I want a job that offers m;;cw19l337;cw18k337;cw17j337;cw16i337;cw15h337;cw14g337;cw13f337;cw12e337;cw11d337;cw10c337;cw09b337;cw08a337;boolean;;
reason_seeking_home;For what reason(s) are you looking for another job? - due to changed circumstanc;;cw19l338;cw18k338;cw17j338;cw16i338;cw15h338;cw14g338;cw13f338;cw12e338;cw11d338;cw10c338;cw09b338;cw08a338;boolean;;
reason_seeking_other;For what reason(s) are you looking for another job? - other;;cw19l339;cw18k339;cw17j339;cw16i339;cw15h339;cw14g339;cw13f339;cw12e339;cw11d339;cw10c339;cw09b339;cw08a339;boolean;;
seeking_year;Since what year have (had) you been looking for (other) work?;;cw19l340;cw18k340;cw17j340;cw16i340;cw15h340;cw14g340;cw13f340;cw12e340;cw11d340;cw10c340;cw09b340;cw08a340;int;;
seeking_month;And since what month?;;cw19l341;cw18k341;cw17j341;cw16i341;cw15h341;cw14g341;cw13f341;cw12e341;cw11d341;cw10c341;cw09b341;cw08a341;category;January|February|March|April|May|June|July|August|September|October|November|December;True
seeking_ad;In what way have you been seeking work over the past two months? - responded to;;cw19l342;cw18k342;cw17j342;cw16i342;cw15h342;cw14g342;cw13f342;cw12e342;cw11d342;cw10c342;cw09b342;cw08a342;boolean;;
seeking_placed;In what way have you been seeking work over the past two months? - placed person;;cw19l343;cw18k343;cw17j343;cw16i343;cw15h343;cw14g343;cw13f343;cw12e343;cw11d343;cw10c343;cw09b343;cw08a343;boolean;;
seeking_asked;In what way have you been seeking work over the past two months? - personally in;;cw19l344;cw18k344;cw17j344;cw16i344;cw15h344;cw14g344;cw13f344;cw12e344;cw11d344;cw10c344;cw09b344;cw08a344;boolean;;
seeking_relatives;In what way have you been seeking work over the past two months? - through frien;;cw19l345;cw18k345;cw17j345;cw16i345;cw15h345;cw14g345;cw13f345;cw12e345;cw11d345;cw10c345;cw09b345;cw08a345;boolean;;
seeking_labor;In what way have you been seeking work over the past two months? - through job a;;cw19l346;cw18k346;cw17j346;cw16i346;cw15h346;cw14g346;cw13f346;cw12e346;cw11d346;cw10c346;cw09b346;cw08a346;boolean;;
seeking_agency;In what way have you been seeking work over the past two months? - through temp-;;cw19l347;cw18k347;cw17j347;cw16i347;cw15h347;cw14g347;cw13f347;cw12e347;cw11d347;cw10c347;cw09b347;cw08a347;boolean;;
seeking_internet;In what way have you been seeking work over the past two months? - placed/update;;cw19l348;cw18k348;cw17j348;cw16i348;cw15h348;cw14g348;cw13f348;cw12e348;cw11d348;cw10c348;cw09b348;cw08a348;boolean;;
seeking_coach;In what way have you been seeking work over the past two months? - active accomp;;cw19l349;cw18k349;cw17j349;cw16i349;cw15h349;cw14g349;cw13f349;cw12e349;cw11d349;cw10c349;cw09b349;cw08a349;boolean;;
seeking_follow;In what way have you been seeking work over the past two months? - tracked job v;;cw19l350;cw18k350;cw17j350;cw16i350;cw15h350;cw14g350;cw13f350;cw12e350;cw11d350;cw10c350;cw09b350;cw08a350;boolean;;
seeking_other;In what way have you been seeking work over the past two months? - in another wa;;cw19l351;cw18k351;cw17j351;cw16i351;cw15h351;cw14g351;cw13f351;cw12e351;cw11d351;cw10c351;cw09b351;cw08a351;boolean;;
seeking_none;In what way have you been seeking work over the past two months? - I did not see;;cw19l352;cw18k352;cw17j352;cw16i352;cw15h352;cw14g352;cw13f352;cw12e352;cw11d352;cw10c352;cw09b352;cw08a352;boolean;;
applied_job;How often have you applied for a job over the past 2 months (in writing, by tele;;cw19l353;cw18k353;cw17j353;cw16i353;cw15h353;cw14g353;cw13f353;cw12e353;cw11d353;cw10c353;cw09b353;cw08a353;int;;
seeking_none_reason;What is the main reason that you did not make any effort to find work over the p;;cw19l354;cw18k354;cw17j354;cw16i354;cw15h354;cw14g354;cw13f354;cw12e354;cw11d354;cw10c354;cw09b354;cw08a354;category;I didn't see any suitable vacancies or adverts|I don't think there's a suitable job for me|I have found a job, but haven't started yet|I am waiting for (the result of) a job interview or application|other reason;False
seeking_start;Suppose a suitable job was available, would you be able to start within 2 weeks?;;cw19l355;cw18k355;cw17j355;cw16i355;cw15h355;cw14g355;cw13f355;cw12e355;cw11d355;cw10c355;cw09b355;cw08a355;boolean;;
seeking_hours;How many hours per week do you want to work in the (a) new job?;;cw19l356;cw18k356;cw17j356;cw16i356;cw15h356;cw14g356;cw13f356;cw12e356;cw11d356;cw10c356;cw09b356;cw08a356;int;;
expect_hours;How many hours per week do you expect to have to work in the (a) new job?;;cw19l357;cw18k357;cw17j357;cw16i357;cw15h357;cw14g357;cw13f357;cw12e357;cw11d357;cw10c357;cw09b357;cw08a357;int;;
expect_start;Within what period do you expect to find the kind of job youre looking for?;;cw19l358;cw18k358;cw17j358;cw16i358;cw15h358;cw14g358;cw13f358;cw12e358;cw11d358;cw10c358;cw09b358;cw08a358;category;within 1 or 2 weeks|within 1 month|within 3 months|within half a year|within 1 year|not within one year|never;True
expect_wage;What net wages do you expect to receive in the (a) new job? - amount in whole eu;;cw19l359;cw18k359;cw17j359;cw16i359;cw15h359;cw14g359;cw13f359;cw12e359;cw11d359;cw10c359;cw09b359;cw08a359;int;;
expect_wage_period;What net wages do you expect to receive in the (a) new job? - period;;cw19l360;cw18k360;cw17j360;cw16i360;cw15h360;cw14g360;cw13f360;cw12e360;cw11d360;cw10c360;cw09b360;cw08a360;category;per week|per 4 weeks|per month|per year;True
expect_wage_unknown;What net wages do you expect to receive in the (a) new job? - I dont know;;cw19l361;cw18k361;cw17j361;cw16i361;cw15h361;cw14g361;cw13f361;cw12e361;cw11d361;cw10c361;cw09b361;cw08a361;boolean;;
min_wage;What would then be the minimum net wage for that amount of hours that this perso;;cw19l362;cw18k362;cw17j362;cw16i362;cw15h362;cw14g362;cw13f362;cw12e362;cw11d362;cw10c362;cw09b362;cw08a362;int;;
min_wage_period;What would then be the minimum net wage for that amount of hours that this perso;;cw19l363;cw18k363;cw17j363;cw16i363;cw15h363;cw14g363;cw13f363;cw12e363;cw11d363;cw10c363;cw09b363;cw08a363;category;per week|per 4 weeks|per month|per year;True
min_wage_unknown;What would then be the minimum net wage for that amount of hours that this perso;;cw19l364;cw18k364;cw17j364;cw16i364;cw15h364;cw14g364;cw13f364;cw12e364;cw11d364;cw10c364;cw09b364;cw08a364;boolean;;
disabled_working;You have indicated that you are wholly or partly disabled for work. Despite this;;;cw18k365;cw17j365;cw16i365;cw15h365;cw14g365;cw13f365;cw12e365;cw11d365;cw10c365;cw09b365;cw08a365;float;;
disabled_fulltime;Suppose someone offers you a full-time job. Suppose also that you will remain en;;;;;;cw15h366;cw14g366;cw13f366;cw12e366;cw11d366;cw10c366;cw09b366;cw08a366;category;no, I am unable to|no, I wouldn't want to|yes, I would want to work full-time;False
disabled_minwage1;Suppose you were offered a full-time job, what then would be the minimum net wag;;;;;;cw15h367;cw14g367;cw13f367;cw12e367;cw11d367;cw10c367;cw09b367;cw08a367;int;;
