new_name;labels;ch20m_EN_1.0p.dta;ch19l_EN_1.0p.dta;ch18k_EN_1.0p.dta;ch17j_EN_1.0p.dta;ch16i_EN_1.0p.dta;ch15h_EN_1.2p.dta;ch13g_EN_1.0p.dta;ch12f_EN_1.0p.dta;ch11e_EN_1.0p.dta;ch10d_EN_1.0p.dta;ch09c_EN_1.1p.dta;ch08b_EN_1.3p.dta;ch07a_2p_EN.dta;type;categories_english;ordered
questionnaire_start_date;Starting date of the questionnaire;ch20m255;ch19l255;ch18k255;ch17j255;ch16i255;ch15h255;ch13g255;ch12f255;ch11e255;ch10d255;ch09c255;ch08b255;;object;;
questionnaire_start_time;Starting time of the questionnaire;ch20m256;ch19l256;ch18k256;ch17j256;ch16i256;ch15h256;ch13g256;ch12f256;ch11e256;ch10d256;ch09c256;ch08b256;;object;;
questionnaire_end_date;End date of the questionnaire;ch20m257;ch19l257;ch18k257;ch17j257;ch16i257;ch15h257;ch13g257;ch12f257;ch11e257;ch10d257;ch09c257;ch08b257;;object;;
questionnaire_end_time;End time of the questionnaire;ch20m258;ch19l258;ch18k258;ch17j258;ch16i258;ch15h258;ch13g258;ch12f258;ch11e258;ch10d258;ch09c258;ch08b258;;object;;
questionnaire_duration;Duration in seconds;ch20m259;ch19l259;ch18k259;ch17j259;ch16i259;ch15h259;ch13g259;ch12f259;ch11e259;ch10d259;ch09c259;ch08b259;;int;;
healthcare_allowance;Did you apply for a health care allowance in 2016?;ch20m263;ch19l263;ch18k263;ch17j263;ch16i263;ch15h263;ch13g263;;;;;;;category;no|yes, and the application was adjudged|yes, but the application was dismissed|yes, the application is still pending;True
healthcare_allowance_amount;How much was this health care allowance per month?;ch20m264;ch19l264;ch18k264;ch17j264;ch16i264;ch15h264;ch13g264;;;;;;;int;;
smoke4;e-cigarettes;ch20m265;ch19l265;ch18k265;ch17j265;ch16i265;ch15h265;;;;;;;;boolean;;
smoke4_amount;How many e-cigarettes [did/do] you smoke on average per day?;ch20m266;ch19l266;ch18k266;ch17j266;ch16i266;ch15h266;;;;;;;;int;;
specialist_dental;dental hygienist;ch20m267;ch19l267;ch18k267;ch17j267;ch16i267;ch15h267;;;;;;;;int;;
;;;index;;;;;;;;;;;;;;
